Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,1350,1350,0.992,0.993,0.995,0.994
A,104,104,0.999,1,0.995,0.995
B,54,54,0.994,1,0.995,0.995
C,43,43,0.988,1,0.995,0.995
D,60,60,0.975,1,0.995,0.995
E,52,52,0.982,1,0.995,0.995
F,46,46,1,1,0.995,0.993
G,58,58,0.993,1,0.995,0.995
H,59,59,0.991,1,0.995,0.995
I,50,50,0.992,1,0.995,0.995
J,46,46,0.99,1,0.995,0.993
K,47,47,0.993,1,0.995,0.995
L,53,53,0.992,1,0.995,0.995
M,47,47,0.985,1,0.995,0.995
N,38,38,0.986,1,0.995,0.995
O,48,48,0.992,1,0.995,0.995
P,48,48,0.992,1,0.995,0.995
Q,52,52,0.992,1,0.995,0.995
R,46,46,1,0.995,0.995,0.992
S,59,59,0.993,1,0.995,0.995
T,38,38,0.989,1,0.995,0.995
U,41,41,0.99,1,0.995,0.995
V,42,42,0.99,1,0.995,0.995
W,46,46,0.991,1,0.995,0.995
X,58,58,1,0.995,0.995,0.993
Y,58,58,1,0.834,0.994,0.983
Z,57,57,0.993,1,0.995,0.995
